"","ozempic_opinion","income_score","genetics","OZread","OZUSE_a_W142","partylean","gender","genetics_collapsed","opinion_collapsed"
"1667","Quite a bit","Upper Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","A lot"
"1668","Some","Upper Income","Some","A little","Yes","Republican","Female","Some","Some"
"1669","Some","Lower Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Some"
"1670","Some","Upper Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"1671","Quite a bit","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1672","Not too much","Middle Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Not too much"
"1673","Not too much","Middle Income","Not at all","A lot","Yes","Republican","Male","Low","Not too much"
"1674","Some","Middle Income","A great deal","A lot","Yes","Republican","Male","A great deal","Some"
"1675","Quite a bit","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1676","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1677","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1678","Some","Lower Income","Some","A little","Yes","Democrat","Female","Some","Some"
"1679","Nothing at all","Lower Income","A great deal","A little","No","Democrat","Male","A great deal","Nothing at all"
"1680","Quite a bit","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","A lot"
"1681","Quite a bit","Lower Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"1682","Not too much","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Not too much"
"1683","Not too much","Middle Income","A great deal","A lot","No","Democrat","Male","A great deal","Not too much"
"1684","Quite a bit","Middle Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","A lot"
"1685","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"1686","Quite a bit","Lower Income","Some","A little","No","Democrat","Female","Some","A lot"
"1687","Quite a bit","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","A lot"
"1688","Not too much","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Not too much"
"1689","Some","Lower Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"1690","Some","Upper Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Some"
"1691","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1692","Some","Upper Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"1693","Not too much","Middle Income","Not too much","A little","Not sure","Republican","Male","Low","Not too much"
"1694","Quite a bit","Upper Income","Some","A little","Yes","Democrat","Male","Some","A lot"
"1695","Not too much","Middle Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"1696","Not too much","Middle Income","Not too much","A little","Yes","Republican","Male","Low","Not too much"
"1697","Some","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Some"
"1698","Quite a bit","Upper Income","A great deal","A lot","Yes","Republican","Male","A great deal","A lot"
"1699","Not too much","Lower Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"1700","Not too much","Upper Income","Some","A lot","Yes","Democrat","Male","Some","Not too much"
"1701","Some","Lower Income","A great deal","A lot","No","Democrat","Male","A great deal","Some"
"1702","Quite a bit","Middle Income","A great deal","A little","No","Republican","Female","A great deal","A lot"
"1703","Some","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"1704","Quite a bit","Upper Income","Not too much","A lot","Yes","Republican","Male","Low","A lot"
"1705","Some","Middle Income","Quite a bit","A lot","Not sure","Republican","Female","Quite a bit","Some"
"1706","Some","Lower Income","Some","A little","No","Democrat","Male","Some","Some"
"1707","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"1708","Not too much","Upper Income","A great deal","A little","Not sure","Republican","Female","A great deal","Not too much"
"1709","A great deal","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"1710","Some","Middle Income","A great deal","A little","No","Republican","Male","A great deal","Some"
"1711","Not too much","Upper Income","Some","A lot","Yes","Republican","Male","Some","Not too much"
"1712","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"1713","Nothing at all","Middle Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Nothing at all"
"1714","Quite a bit","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"1715","Not too much","Upper Income","Some","A little","No","Republican","Male","Some","Not too much"
"1716","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Not too much"
"1717","Some","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1718","A great deal","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","A lot"
"1719","Quite a bit","Lower Income","Some","A lot","Yes","Democrat","Female","Some","A lot"
"1720","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","A lot"
"1721","Not too much","Middle Income","Not too much","A lot","Not sure","Republican","Female","Low","Not too much"
"1722","Some","Middle Income","Not too much","A lot","Yes","Republican","Female","Low","Some"
"1723","Some","Upper Income","Some","A little","Yes","Democrat","Male","Some","Some"
"1724","Not too much","Lower Income","Some","A lot","No","Republican","Male","Some","Not too much"
"1725","A great deal","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","A lot"
"1726","Some","Upper Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"1727","Quite a bit","Lower Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"1728","Not too much","Middle Income","Some","A little","Not sure","Democrat","Male","Some","Not too much"
"1729","Quite a bit","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","A lot"
"1730","Some","Upper Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"1731","Some","Middle Income","Some","A lot","No","Democrat","Male","Some","Some"
"1732","Some","Middle Income","A great deal","A lot","Not sure","Republican","Female","A great deal","Some"
"1733","A great deal","Middle Income","A great deal","A little","Yes","Republican","Female","A great deal","A lot"
"1734","Some","Middle Income","A great deal","A lot","No","Democrat","Female","A great deal","Some"
"1735","Not too much","Lower Income","Some","A little","No","Democrat","Female","Some","Not too much"
"1736","Not too much","Middle Income","Some","A lot","Yes","Democrat","Male","Some","Not too much"
"1737","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1738","Quite a bit","Middle Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","A lot"
"1739","Not too much","Lower Income","A great deal","A little","No","Republican","Female","A great deal","Not too much"
"1740","Nothing at all","Middle Income","Not too much","A lot","Not sure","Republican","Male","Low","Nothing at all"
"1741","Some","Middle Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Some"
"1742","Not too much","Lower Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"1743","Quite a bit","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"1744","Not too much","Middle Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"1745","Quite a bit","Upper Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"1746","Some","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1747","Not too much","Middle Income","Some","A lot","Not sure","Democrat","Male","Some","Not too much"
"1748","Quite a bit","Middle Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","A lot"
"1749","Not too much","Lower Income","A great deal","A little","Yes","Democrat","Male","A great deal","Not too much"
"1750","Some","Upper Income","Some","A little","Not sure","Democrat","Female","Some","Some"
"1751","Not too much","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Not too much"
"1752","Not too much","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Not too much"
"1753","Quite a bit","Upper Income","Some","A lot","Yes","Democrat","Female","Some","A lot"
"1754","Some","Middle Income","Some","A little","No","Republican","Male","Some","Some"
"1755","Some","Lower Income","A great deal","A little","Not sure","Republican","Female","A great deal","Some"
"1756","Not too much","Lower Income","A great deal","A little","Yes","Republican","Female","A great deal","Not too much"
"1757","Not too much","Lower Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Not too much"
"1758","Not too much","Middle Income","A great deal","A little","No","Democrat","Female","A great deal","Not too much"
"1759","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"1760","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1761","Some","Middle Income","Some","A little","Yes","Democrat","Male","Some","Some"
"1762","Not too much","Middle Income","Some","A lot","Not sure","Democrat","Male","Some","Not too much"
"1763","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"1764","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1765","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1766","Quite a bit","Middle Income","Some","A lot","Yes","Democrat","Female","Some","A lot"
"1767","Not too much","Middle Income","Some","A lot","No","Democrat","Female","Some","Not too much"
"1768","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Not too much"
"1769","Nothing at all","Lower Income","Some","A little","No","Republican","Female","Some","Nothing at all"
"1770","Some","Middle Income","A great deal","A little","Yes","Republican","Female","A great deal","Some"
"1771","A great deal","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1772","Some","Middle Income","A great deal","A little","No","Democrat","Male","A great deal","Some"
"1773","Not too much","Upper Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"1774","Some","Middle Income","Some","A little","Yes","Democrat","Male","Some","Some"
"1775","A great deal","Lower Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1776","Not too much","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Not too much"
"1777","Some","Middle Income","Some","A little","Yes","Democrat","Male","Some","Some"
"1778","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1779","Some","Middle Income","Some","A little","No","Republican","Male","Some","Some"
"1780","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"1781","Some","Middle Income","Some","A little","Not sure","Democrat","Male","Some","Some"
"1782","Some","Middle Income","Some","A lot","Yes","Republican","Female","Some","Some"
"1783","Some","Upper Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"1784","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"1785","Not too much","Lower Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"1786","Not too much","Upper Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"1787","Not too much","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Not too much"
"1788","Quite a bit","Upper Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1789","Not too much","Middle Income","Quite a bit","A lot","Not sure","Republican","Female","Quite a bit","Not too much"
"1790","Not too much","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Not too much"
"1791","Not too much","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Not too much"
"1792","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1793","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"1794","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"1795","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1796","Not too much","Middle Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"1797","Some","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1798","Some","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"1799","Some","Lower Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1800","Some","Lower Income","Not too much","A little","Yes","Democrat","Male","Low","Some"
"1801","Some","Lower Income","Some","A little","Yes","Democrat","Male","Some","Some"
"1802","Some","Middle Income","Some","A little","No","Democrat","Male","Some","Some"
"1803","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1804","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","A lot"
"1805","Not too much","Lower Income","Some","A little","No","Republican","Female","Some","Not too much"
"1806","Quite a bit","Middle Income","A great deal","A lot","Not sure","Republican","Female","A great deal","A lot"
"1807","Quite a bit","Lower Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"1808","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1809","Not too much","Upper Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"1810","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1811","Quite a bit","Middle Income","Some","A lot","Yes","Democrat","Female","Some","A lot"
"1812","Some","Middle Income","Some","A lot","Not sure","Democrat","Female","Some","Some"
"1813","Not too much","Middle Income","Some","A lot","Not sure","Democrat","Male","Some","Not too much"
"1814","Not too much","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Not too much"
"1815","Quite a bit","Upper Income","A great deal","A little","Yes","Democrat","Female","A great deal","A lot"
"1816","A great deal","Lower Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"1817","Some","Lower Income","Some","A little","Yes","Democrat","Female","Some","Some"
"1818","Some","Lower Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1819","Not too much","Lower Income","Quite a bit","A little","Not sure","Democrat","Female","Quite a bit","Not too much"
"1820","Not too much","Lower Income","A great deal","A little","Yes","Republican","Male","A great deal","Not too much"
"1821","Not too much","Lower Income","Some","A little","No","Democrat","Male","Some","Not too much"
"1822","Nothing at all","Middle Income","Some","A little","No","Democrat","Female","Some","Nothing at all"
"1823","Some","Middle Income","Some","A lot","Yes","Republican","Female","Some","Some"
"1824","Not too much","Middle Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"1825","Some","Lower Income","A great deal","A little","Not sure","Democrat","Male","A great deal","Some"
"1826","Some","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Some"
"1827","Quite a bit","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"1828","Some","Middle Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Some"
"1829","Quite a bit","Upper Income","A great deal","A lot","Yes","Democrat","Male","A great deal","A lot"
"1830","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1831","Nothing at all","Middle Income","A great deal","A lot","Not sure","Democrat","Female","A great deal","Nothing at all"
"1832","Not too much","Upper Income","Some","A lot","Not sure","Republican","Male","Some","Not too much"
"1833","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Not too much"
"1834","A great deal","Middle Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","A lot"
"1835","Quite a bit","Middle Income","Some","A lot","Not sure","Democrat","Female","Some","A lot"
"1836","Some","Middle Income","Some","A little","No","Democrat","Male","Some","Some"
"1837","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1838","Some","Lower Income","Some","A little","Yes","Democrat","Male","Some","Some"
"1839","Not too much","Middle Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"1840","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Not too much"
"1841","Nothing at all","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Nothing at all"
"1842","Not too much","Lower Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Not too much"
"1843","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1844","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1845","Some","Lower Income","Quite a bit","A lot","No","Democrat","Male","Quite a bit","Some"
"1846","Some","Middle Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"1847","Some","Lower Income","A great deal","A little","Yes","Republican","Female","A great deal","Some"
"1848","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1849","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"1850","Not too much","Upper Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Not too much"
"1851","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","A lot"
"1852","Some","Middle Income","Some","A little","Yes","Democrat","Male","Some","Some"
"1853","Not too much","Lower Income","A great deal","A little","No","Democrat","Female","A great deal","Not too much"
"1854","Not too much","Middle Income","Some","A lot","Yes","Democrat","Male","Some","Not too much"
"1855","Quite a bit","Middle Income","A great deal","A little","Not sure","Democrat","Male","A great deal","A lot"
"1856","Some","Middle Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"1857","Some","Middle Income","Some","A little","No","Republican","Male","Some","Some"
"1858","Some","Middle Income","Some","A little","Not sure","Democrat","Male","Some","Some"
"1859","Not too much","Middle Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"1860","Quite a bit","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1861","Not too much","Lower Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Not too much"
"1862","Some","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Some"
"1863","Quite a bit","Middle Income","Some","A lot","No","Democrat","Female","Some","A lot"
"1864","Not too much","Lower Income","A great deal","A little","Not sure","Republican","Female","A great deal","Not too much"
"1865","A great deal","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1866","Quite a bit","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","A lot"
"1867","Not too much","Middle Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"1868","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"1869","Some","Middle Income","A great deal","A little","Yes","Republican","Female","A great deal","Some"
"1870","Some","Lower Income","Some","A lot","Yes","Republican","Female","Some","Some"
"1871","Some","Middle Income","Some","A lot","No","Democrat","Female","Some","Some"
"1872","Some","Lower Income","Some","A little","No","Republican","Male","Some","Some"
"1873","Some","Lower Income","A great deal","A little","No","Democrat","Female","A great deal","Some"
"1874","Quite a bit","Lower Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","A lot"
"1875","Not too much","Lower Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Not too much"
"1876","Some","Lower Income","Not too much","A lot","Yes","Republican","Female","Low","Some"
"1877","Quite a bit","Upper Income","A great deal","A lot","Yes","Democrat","Male","A great deal","A lot"
"1878","Some","Middle Income","A great deal","A little","No","Republican","Male","A great deal","Some"
"1879","Not too much","Lower Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Not too much"
"1880","Some","Lower Income","Some","A little","Yes","Democrat","Male","Some","Some"
"1881","Not too much","Upper Income","A great deal","A little","Not sure","Democrat","Male","A great deal","Not too much"
"1882","Some","Lower Income","A great deal","A lot","No","Republican","Female","A great deal","Some"
"1883","Quite a bit","Middle Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"1884","Some","Middle Income","Quite a bit","A lot","No","Democrat","Male","Quite a bit","Some"
"1885","Not too much","Middle Income","Quite a bit","A little","Not sure","Democrat","Female","Quite a bit","Not too much"
"1886","Not too much","Lower Income","A great deal","A little","No","Democrat","Male","A great deal","Not too much"
"1887","Some","Lower Income","Some","A lot","Not sure","Democrat","Female","Some","Some"
"1888","A great deal","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1889","Not too much","Lower Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"1890","Some","Upper Income","Some","A little","No","Democrat","Male","Some","Some"
"1891","Some","Upper Income","Some","A little","Yes","Democrat","Male","Some","Some"
"1892","Not too much","Middle Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"1893","Not too much","Lower Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"1894","A great deal","Lower Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"1895","Not too much","Upper Income","Some","A little","No","Republican","Male","Some","Not too much"
"1896","Some","Upper Income","A great deal","A little","Yes","Republican","Male","A great deal","Some"
"1897","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1898","Not too much","Lower Income","Quite a bit","A little","Not sure","Democrat","Female","Quite a bit","Not too much"
"1899","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"1900","Not too much","Middle Income","Some","A lot","Yes","Republican","Female","Some","Not too much"
"1901","A great deal","Lower Income","Some","A lot","Yes","Republican","Female","Some","A lot"
"1902","Quite a bit","Lower Income","A great deal","A lot","Yes","Democrat","Male","A great deal","A lot"
"1903","Some","Middle Income","A great deal","A little","No","Democrat","Female","A great deal","Some"
"1904","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"1905","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1906","Some","Middle Income","A great deal","A little","No","Democrat","Male","A great deal","Some"
"1907","Not too much","Middle Income","Quite a bit","A lot","No","Republican","Female","Quite a bit","Not too much"
"1908","Some","Middle Income","A great deal","A little","No","Democrat","Female","A great deal","Some"
"1909","Some","Lower Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Some"
"1910","Not too much","Middle Income","Quite a bit","A lot","Not sure","Democrat","Female","Quite a bit","Not too much"
"1911","Some","Upper Income","Some","A little","No","Republican","Male","Some","Some"
"1912","Not too much","Upper Income","Some","A lot","Yes","Republican","Male","Some","Not too much"
"1913","Some","Middle Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Some"
"1914","Not too much","Lower Income","Some","A lot","Not sure","Democrat","Male","Some","Not too much"
"1915","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1916","Not too much","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Not too much"
"1917","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1918","Not too much","Middle Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Not too much"
"1919","Some","Middle Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Some"
"1920","Not too much","Upper Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"1921","Some","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1922","Some","Lower Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1923","Quite a bit","Middle Income","Some","A little","No","Democrat","Male","Some","A lot"
"1924","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1925","Not too much","Middle Income","A great deal","A little","Not sure","Democrat","Male","A great deal","Not too much"
"1926","Not too much","Middle Income","Some","A little","No","Democrat","Female","Some","Not too much"
"1927","Some","Middle Income","Quite a bit","A lot","No","Republican","Male","Quite a bit","Some"
"1928","Not too much","Lower Income","A great deal","A little","No","Democrat","Male","A great deal","Not too much"
"1929","Quite a bit","Upper Income","Some","A lot","Yes","Democrat","Female","Some","A lot"
"1930","Not too much","Upper Income","Some","A lot","Yes","Democrat","Male","Some","Not too much"
"1931","Not too much","Lower Income","Not too much","A lot","Yes","Democrat","Female","Low","Not too much"
"1932","Some","Upper Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"1933","Some","Middle Income","Quite a bit","A lot","Not sure","Democrat","Female","Quite a bit","Some"
"1934","Quite a bit","Lower Income","A great deal","A little","Yes","Republican","Female","A great deal","A lot"
"1935","Not too much","Lower Income","Some","A lot","Yes","Democrat","Female","Some","Not too much"
"1936","Nothing at all","Middle Income","A great deal","A lot","Not sure","Republican","Female","A great deal","Nothing at all"
"1937","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1938","Not too much","Lower Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"1939","Not too much","Upper Income","Quite a bit","A lot","Not sure","Republican","Male","Quite a bit","Not too much"
"1940","Some","Upper Income","Some","A lot","Yes","Republican","Female","Some","Some"
"1941","Not too much","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Not too much"
"1942","Not too much","Lower Income","Some","A lot","Not sure","Democrat","Male","Some","Not too much"
"1943","Not too much","Upper Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"1944","Quite a bit","Middle Income","Quite a bit","A little","No","Republican","Female","Quite a bit","A lot"
"1945","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"1946","Quite a bit","Lower Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"1947","A great deal","Lower Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","A lot"
"1948","Quite a bit","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"1949","Some","Middle Income","Some","A little","Not sure","Democrat","Male","Some","Some"
"1950","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1951","Nothing at all","Lower Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Nothing at all"
"1952","A great deal","Middle Income","Some","A lot","Yes","Republican","Female","Some","A lot"
"1953","Quite a bit","Lower Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"1954","Some","Lower Income","Some","A little","Yes","Democrat","Female","Some","Some"
"1955","Nothing at all","Lower Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Nothing at all"
"1956","Nothing at all","Lower Income","A great deal","A little","Not sure","Democrat","Female","A great deal","Nothing at all"
"1957","Some","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"1958","A great deal","Lower Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"1959","Not too much","Upper Income","Not too much","A little","Yes","Democrat","Female","Low","Not too much"
"1960","Quite a bit","Lower Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"1961","Quite a bit","Middle Income","Not too much","A lot","Yes","Democrat","Female","Low","A lot"
"1962","Quite a bit","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","A lot"
"1963","Quite a bit","Middle Income","A great deal","A little","Not sure","Democrat","Male","A great deal","A lot"
"1964","Some","Upper Income","A great deal","A little","No","Democrat","Male","A great deal","Some"
"1965","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1966","Not too much","Lower Income","A great deal","A little","Not sure","Democrat","Male","A great deal","Not too much"
"1967","Not too much","Middle Income","Not too much","A little","Yes","Republican","Male","Low","Not too much"
"1968","Not too much","Lower Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"1969","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1970","Quite a bit","Lower Income","Some","A lot","Yes","Democrat","Male","Some","A lot"
"1971","Some","Lower Income","A great deal","A little","No","Democrat","Female","A great deal","Some"
"1972","Some","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"1973","Quite a bit","Lower Income","Not too much","A little","Yes","Democrat","Female","Low","A lot"
"1974","Some","Lower Income","Some","A little","Yes","Democrat","Male","Some","Some"
"1975","Not too much","Middle Income","Quite a bit","A lot","Not sure","Republican","Female","Quite a bit","Not too much"
"1976","Quite a bit","Middle Income","A great deal","A lot","Yes","Republican","Male","A great deal","A lot"
"1977","Quite a bit","Upper Income","Some","A little","Yes","Republican","Male","Some","A lot"
"1978","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
